sync_index,port,frame_index,frame_time
106,2,103,3342.6928956499996
106,1,105,3342.6740274000003
107,2,104,3342.7293528
107,1,106,3342.7102188500003
108,2,105,3342.7549201499996
108,0,22,3342.7492097
108,1,107,3342.73570425
109,2,106,3342.7907303
109,1,108,3342.7716626499996
110,2,107,3342.8270371999997
110,1,109,3342.8076449
111,2,108,3342.8530542500002
111,1,110,3342.83422735
112,2,109,3342.88903315
112,0,23,3342.88307475
112,1,111,3342.87013445
113,2,110,3342.91467975
113,1,112,3342.8957184499995
114,2,111,3342.9508161
114,1,113,3342.93170045
115,2,112,3342.9870643000004
115,1,114,3342.976058
116,2,113,3343.0131368
116,0,24,3343.01722445
116,1,115,3343.0124150499996
117,2,114,3343.06883075
117,1,116,3343.0477136
118,2,115,3343.1038369
118,1,117,3343.0736262
119,2,116,3343.1289174
119,1,118,3343.1098039
120,2,117,3343.1552030000003
120,0,25,3343.1493909
120,1,119,3343.1359263
121,2,118,3343.1908337
121,1,120,3343.1717098999998
122,2,119,3343.2272611999997
122,1,121,3343.20767785
123,2,120,3343.25282635
123,1,122,3343.2340984499997
124,2,121,3343.28903755
124,0,26,3343.2830642500003
124,1,123,3343.27015065
125,2,122,3343.3146351
125,1,124,3343.29549735
126,2,123,3343.35071665
126,1,125,3343.3314072000003
127,2,124,3343.3872380000003
127,1,126,3343.3755628
128,2,125,3343.4128257
128,0,27,3343.4171009499996
128,1,127,3343.4116293999996
129,2,126,3343.4567449
129,1,128,3343.4475223500003
130,2,127,3343.4927139
130,1,129,3343.47372065
131,2,128,3343.52907775
131,1,130,3343.5109559
132,2,129,3343.55488715
132,0,28,3343.5491253
132,1,131,3343.54576065
133,2,130,3343.5907177999998
133,1,132,3343.5716230999997
134,2,131,3343.6270516000004
134,1,133,3343.6076331
135,2,132,3343.6531216
135,1,134,3343.6338948000002
136,2,133,3343.6889799
136,0,29,3343.68305365
136,1,135,3343.6698853
137,2,134,3343.7156235499997
137,1,136,3343.6966494999997
138,2,135,3343.75126695
138,1,137,3343.7314188
139,2,136,3343.7870501999996
139,1,138,3343.77601125
140,2,137,3343.81321635
140,0,30,3343.81722735
140,1,139,3343.8117161
141,2,138,3343.8568078999997
141,1,140,3343.8476403000004
142,2,139,3343.8929660000003
142,1,141,3343.8740163
143,2,140,3343.9291863500002
143,1,142,3343.9098634
144,2,141,3343.9547991
144,0,31,3343.94904925
144,1,143,3343.9360487
145,2,142,3343.99054415
145,1,144,3343.97165235
146,2,143,3344.02727735
146,1,145,3344.0075367500003
147,2,144,3344.05307485
147,1,146,3344.03408325
148,2,145,3344.0890651
148,0,32,3344.08317835
148,1,147,3344.06967025
149,2,146,3344.1151207499997
149,1,148,3344.09577875
150,2,147,3344.1508949500003
150,1,149,3344.13147325
151,2,148,3344.1878626
151,1,150,3344.17585445
152,2,149,3344.2130807
152,0,33,3344.21719755
152,1,151,3344.2121478500003
153,2,150,3344.25668705
153,1,152,3344.24753315
154,2,151,3344.293176
154,1,153,3344.2737259
155,2,152,3344.32882845
155,1,154,3344.30965165
156,2,153,3344.3548202
156,0,34,3344.3411143499998
156,1,155,3344.33560165
157,2,154,3344.3911082000004
157,1,156,3344.37137235
158,2,155,3344.4269872
158,1,157,3344.408466
159,2,156,3344.4530811
159,1,158,3344.43349585
160,2,157,3344.4890155000003
160,0,35,3344.4831235
160,1,159,3344.46957705
161,2,158,3344.5145908000004
161,1,160,3344.49553585
162,2,159,3344.55097995
162,1,161,3344.5315508000003
163,2,160,3344.5872115
163,1,162,3344.57590905
164,2,161,3344.6131648
164,0,36,3344.6172793
164,1,163,3344.6121316500003
165,2,162,3344.65676465
165,1,164,3344.6475271500003
166,2,163,3344.6929064
166,1,165,3344.67412935
167,2,164,3344.7289707
167,1,166,3344.70971645
168,2,165,3344.754847
168,0,37,3344.7412877
168,1,167,3344.7356204
169,2,166,3344.79081885
169,1,168,3344.7715877
170,2,167,3344.8270536
170,1,169,3344.8079390499997
171,2,168,3344.8530634500003
171,1,170,3344.8342865
172,2,169,3344.88918075
172,0,38,3344.8831148
172,1,171,3344.8697205500002
173,2,170,3344.91478285
173,1,172,3344.89550765
174,2,171,3344.95102175
174,1,173,3344.9315226
175,2,172,3344.98772235
175,1,174,3344.9757127000003
176,2,173,3345.0130663500004
176,0,39,3345.01740215
176,1,175,3345.0117412500003
177,2,174,3345.0568093499996
177,1,176,3345.04763525
178,2,175,3345.0930608999997
178,1,177,3345.07386315
179,2,176,3345.12904385
179,1,178,3345.10990165
180,2,177,3345.1553909
180,0,40,3345.14152645
180,1,179,3345.1359780499997
181,2,178,3345.1908681
181,1,180,3345.1720452
182,2,179,3345.2273883999997
182,1,181,3345.20829195
183,2,180,3345.2533822
183,1,182,3345.2338697
184,2,181,3345.2887323
184,0,41,3345.28349845
184,1,183,3345.27003205
185,2,182,3345.3145325
185,1,184,3345.29633535
186,2,183,3345.3509195
186,1,185,3345.33125115
187,2,184,3345.38753545
187,1,186,3345.3677350999997
188,2,185,3345.41287775
188,0,42,3345.4171438000003
188,1,187,3345.40213975
189,2,186,3345.45714935
189,1,188,3345.44755975
190,2,187,3345.4931433499996
190,1,189,3345.47401445
191,2,188,3345.5289168
