,pair,port_A,port_B,time,bundle,id,x_pos,y_pos,z_pos,x_A_raw,y_A_raw,x_B_raw,y_B_raw,x_A_undistorted,y_A_undistorted,x_B_undistorted,y_B_undistorted
544,"(0, 1)",0,1,465.641784925,43,6,-0.1397969353758115,0.0027694321682753898,0.9511220595798252,442.509765625,303.1719665527344,525.116943359375,398.8490905761719,442.8947261250963,303.028175502857,525.1107493810977,398.8010332714675
545,"(0, 1)",0,1,465.641784925,43,7,-0.13867522022088796,-0.041491286089516466,0.9230089012833259,440.52069091796875,278.50665283203125,527.2032470703125,342.6638488769531,440.8802202897783,278.4473057117459,527.2071879435308,342.6600092952968
546,"(0, 1)",0,1,465.641784925,43,8,-0.13719104993012016,-0.08755300902516136,0.8976918441025037,439.14410400390625,251.56918334960938,529.188232421875,285.78851318359375,439.5429784469778,251.59330488390952,529.2175650010653,285.70804242516124
547,"(0, 1)",0,1,465.641784925,43,9,-0.1915432415040568,0.0013506193678075402,0.9509408718220912,413.36968994140625,302.2196350097656,468.8248291015625,397.5676574707031,414.30855768625,301.9608411565208,468.8564174349584,397.507957572934
548,"(0, 1)",0,1,465.641784925,43,10,-0.19095513537900766,-0.04181403724872775,0.9216310891054512,410.53619384765625,278.29443359375,470.0069580078125,341.5309753417969,411.47459545697916,278.205281563916,470.010141397522,341.52397525874886
549,"(0, 1)",0,1,465.641784925,43,11,-0.1895606480620963,-0.08781582791793281,0.8964716846548969,408.376953125,251.3160400390625,471.79327392578125,284.46807861328125,409.38631286033365,251.41630266163395,471.77863588586786,284.39343500550115
550,"(0, 2)",0,2,465.641279125,43,2,-0.03984012810538497,-0.08575228026284087,0.8950700253709547,498.0625,253.44407653808594,653.3450927734375,137.97637939453125,498.0661345877884,253.37270077468406,651.6751770502696,139.65361952144968
551,"(0, 2)",0,2,465.641279125,43,3,-0.09458865450789143,0.0008715374972474076,0.9489464140386619,470.23779296875,303.5383605957031,610.4284057617188,188.5513458251953,470.34761946624906,303.4767215133888,609.978046467155,188.95685698421607
552,"(0, 2)",0,2,465.641279125,43,4,-0.09459094267284085,-0.04156372807698276,0.9212569990092984,468.49993896484375,279.6361389160156,618.711181640625,163.24595642089844,468.5859445284721,279.59340322854376,617.981648572674,164.06665090223072
553,"(0, 2)",0,2,465.641279125,43,5,-0.0919813200570585,-0.08752615446500044,0.8957456347857101,468.320068359375,252.69381713867188,628.109130859375,134.34117126464844,468.4218795306553,252.65831095226122,626.9702714503175,135.85490428646716
554,"(0, 2)",0,2,465.641279125,43,6,-0.14564565008280705,-0.00014991114312197095,0.9487014074017255,442.509765625,303.1719665527344,586.3073120117188,186.416015625,442.8947261250963,303.028175502857,586.0839216320633,186.72853016531178
555,"(0, 2)",0,2,465.641279125,43,7,-0.1449962342731449,-0.04395793089754044,0.9236642067633588,440.52069091796875,278.50665283203125,593.6069946289062,160.07908630371094,440.8802202897783,278.4473057117459,593.1890107298016,160.78776972204847
556,"(0, 2)",0,2,465.641279125,43,8,-0.1425909505540796,-0.08961732886940418,0.8952507661653631,439.14410400390625,251.56918334960938,603.146240234375,130.34913635253906,439.5429784469778,251.59330488390952,602.4096375628883,131.75270531707594
557,"(0, 2)",0,2,465.641279125,43,9,-0.19897310191154288,-0.002660930001260928,0.9490798879696309,413.36968994140625,302.2196350097656,560.0294189453125,183.11463928222656,414.30855768625,301.9608411565208,559.95048555461,183.38015665090728
558,"(0, 2)",0,2,465.641279125,43,10,-0.19841680405371606,-0.04500618927145186,0.9241146803400048,410.53619384765625,278.29443359375,566.6387939453125,156.98614501953125,411.47459545697916,278.205281563916,566.4526206054421,157.62714481949808
559,"(0, 2)",0,2,465.641279125,43,11,-0.1957774641372407,-0.09070553220341036,0.8960954334188798,408.376953125,251.3160400390625,575.484619140625,126.54235076904297,409.38631286033365,251.41630266163395,575.0958219896492,127.8765550749805
560,"(1, 2)",1,2,465.64168985000003,43,2,-0.032166205052789915,-0.08812626916368513,0.9049648862588366,640.4981689453125,289.3215026855469,653.3450927734375,137.97637939453125,640.6980423310919,289.1196304143501,651.6751770502696,139.65361952144968
561,"(1, 2)",1,2,465.64168985000003,43,3,-0.08433488542083821,-0.0017471370614433848,0.9662694830209665,581.4443969726562,400.3673095703125,610.4284057617188,188.5513458251953,581.4317613341173,400.2946503517364,609.978046467155,188.95685698421607
562,"(1, 2)",1,2,465.64168985000003,43,4,-0.08497908649391497,-0.04489797412315345,0.9349480414964919,582.4910888671875,344.41351318359375,618.711181640625,163.24595642089844,582.527327948188,344.37572762050104,617.981648572674,164.06665090223072
563,"(1, 2)",1,2,465.64168985000003,43,5,-0.08376034528648779,-0.09066734797389482,0.9075814399137213,584.5518188476562,287.77099609375,628.109130859375,134.34117126464844,584.6536366335868,287.64772025126393,626.9702714503175,135.85490428646716
564,"(1, 2)",1,2,465.64168985000003,43,6,-0.1371901135209246,-0.0024026915980118846,0.9644017049239416,525.116943359375,398.8490905761719,586.3073120117188,186.416015625,525.1107493810977,398.8010332714675,586.0839216320633,186.72853016531178
565,"(1, 2)",1,2,465.64168985000003,43,7,-0.13606533828385142,-0.04750975374093733,0.9372160054300729,527.2032470703125,342.6638488769531,593.6069946289062,160.07908630371094,527.2071879435308,342.6600092952968,593.1890107298016,160.78776972204847
566,"(1, 2)",1,2,465.64168985000003,43,8,-0.13488254191640572,-0.09265847748274637,0.9081382716578579,529.188232421875,285.78851318359375,603.146240234375,130.34913635253906,529.2175650010653,285.70804242516124,602.4096375628883,131.75270531707594
567,"(1, 2)",1,2,465.64168985000003,43,9,-0.18901552107934982,-0.006185476436834902,0.9700355789451126,468.8248291015625,397.5676574707031,560.0294189453125,183.11463928222656,468.8564174349584,397.507957572934,559.95048555461,183.38015665090728
568,"(1, 2)",1,2,465.64168985000003,43,10,-0.1887713539422088,-0.049901364073356415,0.9403547950641157,470.0069580078125,341.5309753417969,566.6387939453125,156.98614501953125,470.010141397522,341.52397525874886,566.4526206054421,157.62714481949808
569,"(1, 2)",1,2,465.64168985000003,43,11,-0.18752820857444377,-0.09521026467562893,0.9112708620146638,471.79327392578125,284.46807861328125,575.484619140625,126.54235076904297,471.77863588586786,284.39343500550115,575.0958219896492,127.8765550749805
570,"(0, 1)",0,1,465.81335325,44,0,-0.05622934551613252,0.0014875264716606603,0.9397633240549897,490.7547607421875,304.0326232910156,616.0499267578125,391.94140625,490.7798654755649,304.01008203385413,616.0593901550465,391.8475559694165
571,"(0, 1)",0,1,465.81335325,44,1,-0.05360230244884327,-0.046496543443594655,0.9201970837513479,492.126953125,277.711181640625,618.03076171875,336.0930480957031,492.1288184469916,277.67474784038876,618.1173923373714,336.0080449886136
572,"(0, 1)",0,1,465.81335325,44,2,-0.05312988941860834,-0.09164902014958558,0.8934910988930643,491.4681396484375,251.15206909179688,619.38623046875,279.6997985839844,491.48303867927564,251.0853270020429,619.5621590857976,279.5062804732122
