,Sync_Index,Port_0_Time,Port_1_Time,Port_2_Time
174,174,249087.64176035,dropped,249087.6352016
175,175,249087.73916785,dropped,249087.73507735
176,176,249087.73916785,dropped,249087.73507735
177,177,249087.73916785,dropped,249087.73507735
178,178,dropped,249087.75674285,249087.76839955
179,179,dropped,dropped,249087.8025289
180,180,249087.84530335,dropped,249087.83494034997
181,181,dropped,249087.8870384,249087.86790860002
182,182,dropped,dropped,249087.90171484998
183,183,dropped,dropped,249087.9689353
184,184,dropped,249088.0175456,249088.0021238
185,185,dropped,249088.0175456,249088.0021238
186,186,249088.04157105,dropped,249088.03479950002
187,187,249088.13963,dropped,249088.1347704
188,188,249088.13963,dropped,249088.1347704
189,189,249088.13963,dropped,249088.1347704
190,190,dropped,249088.15658880002,249088.16881155001
191,191,dropped,dropped,249088.2018093
192,192,249088.24551375,dropped,249088.23490565
193,193,dropped,249088.2870335,249088.2685453
194,194,dropped,dropped,249088.3012811
195,195,dropped,dropped,249088.3688241
196,196,dropped,249088.41734729998,249088.40153625
197,197,dropped,249088.41734729998,249088.40153625
198,198,249088.44133185002,dropped,249088.4353668
199,199,249088.53930935002,249088.54840365,249088.5354167
200,200,249088.53930935002,249088.54840365,249088.5354167
201,201,249088.53930935002,249088.54840365,249088.5354167
202,202,dropped,dropped,249088.56758879998
203,203,249088.645364,dropped,249088.63549635
204,204,249088.645364,dropped,249088.63549635
205,205,dropped,249088.6707671,249088.6683873
206,206,dropped,dropped,249088.70142635
207,207,dropped,249088.8175067,249088.8019562
208,208,dropped,249088.8175067,249088.8019562
209,209,dropped,249088.8175067,249088.8019562
210,210,249088.84185445,dropped,249088.8347026
211,211,249088.93938285002,249088.94833595,249088.93497125
212,212,249088.93938285002,249088.94833595,249088.93497125
213,213,249088.93938285002,249088.94833595,249088.93497125
214,214,dropped,dropped,249088.96896995
215,215,249089.04532580002,dropped,249089.0357023
216,216,249089.04532580002,dropped,249089.0357023
217,217,dropped,249089.07046289998,249089.0687131
218,218,dropped,dropped,249089.1015973
219,219,dropped,dropped,249089.16885005
220,220,dropped,249089.21738609998,249089.2016564
221,221,dropped,249089.21738609998,249089.2016564
222,222,249089.24183374998,dropped,249089.23554685002
223,223,249089.3394305,249089.34851905,249089.33467445
224,224,249089.3394305,249089.34851905,249089.33467445
225,225,249089.3394305,249089.34851905,249089.33467445
226,226,dropped,dropped,249089.36864795
227,227,249089.4455098,dropped,249089.43578085
228,228,dropped,249089.47063604998,249089.46760099998
229,229,dropped,249089.47063604998,249089.46760099998
230,230,dropped,dropped,249089.5016725
231,231,dropped,249089.61801945,249089.60165505
232,232,dropped,249089.61801945,249089.60165505
233,233,dropped,249089.61801945,249089.60165505
234,234,249089.64150124998,dropped,249089.6355153
235,235,249089.7393981,249089.74846935,249089.73473035
236,236,249089.7393981,249089.74846935,249089.73473035
237,237,249089.7393981,249089.74846935,249089.73473035
238,238,dropped,dropped,249089.76874590002
239,239,249089.84575734998,dropped,249089.83536565
240,240,249089.84575734998,dropped,249089.83536565
241,241,dropped,249089.8709371,249089.86829315
242,242,dropped,dropped,249089.90237214998
243,243,dropped,249090.01784995,249090.00232139998
244,244,dropped,249090.01784995,249090.00232139998
245,245,dropped,249090.01784995,249090.00232139998
246,246,249090.0413561,dropped,249090.03522790002
247,247,249090.13991085,249090.14820609998,249090.1351791
